track	artist	album_id	album	country	platform	isrc	upc	streams
Загадаю	Alice Harp	24985429	Загадаю	ru	yandex	RUAGT2365174	5063316677002	2
Только не засыпай	Son, Fire!	23257995	Только не засыпай	uz	spotify	RUA1D2356799	5063316097497	2
снова	кто такой ильдар	29975003	снова	ru	yandex	RUA1D2535298	5063635340281	34
Не исправить (feat. Cold Carti)	lllectopalov feat. Cold Carti	24217152	Не исправить (feat. Cold Carti)	uz	yandex	RUAGT2319122	5063316444703	4
Юннатов	Алёна Минулина	28817915	Там, где радость и печаль	ru	applemusic	RUAH62409287	5063466986122	1
Почему ты молчишь?	DENNIE	23248437	Почему ты молчишь?	kz	umavk	QZHZ52086641	734126546097	1
во что ты веришь?	moonbone	28282675	во что ты веришь?	kg	yandex	RUAGT2471273	5063466787415	1
Я живой	Кэнси	33157554	Я живой	ru	umavk	RUAGT2583939	5063833199094	2
А мы танцуем	Холла	18894944	А мы танцуем	de	applemusic	RUA1D2131172	5057827787824	1
Кому-то нужен?	Вечный Странник?	30710290	Временами всё пройдёт	ru	umavk	RUA1D2573225	5063635567121	1
Группировка	DJama22	36443067	Группировка	se	spotify	RUA1D2662778	5063945034429	1
Монро	Монтея	21222445	Монро	ru	applemusic	RUA1D2266092	5063018380316	7
ONLYTATS (BID0NCI0N Remix)	IAMMIND	19751624	ONLYTATS (BID0NCI0N Remix)	ua	umavk	RUA1D2163756	5057827944678	1
Люди	Рита Ричи	31805136	Люди	ru	umavk	RUAGT2527365	5063635867122	3
Огонёчек	Tasavalta	36294386	Огонёчек	de	spotify	RUA1D2656142	5063833999960	3
Как мы песни пели	Полина Леонькина	33793803	Как мы песни пели	ru	yandex	RUAH62513271	5063833368605	17
ночь	sex1minute	21534439	ночь	md	umavk	RUA1D2286525	5063018480542	1
