track	artist	album_id	album	country	platform	isrc	upc	streams
120 BPM	KIRILIK			am	umavk	RUAGV2513406		1
120 BPM	KIRILIK			by	umavk	RUAGV2513406		10
120 BPM	KIRILIK			by	yandex	RUAGV2513406		68
120 BPM	KIRILIK			kz	umavk	RUAGV2513406		3
120 BPM	KIRILIK			kz	yandex	RUAGV2513406		23
120 BPM	KIRILIK			ru	mts	RUAGV2513406		13
120 BPM	KIRILIK			ru	umavk	RUAGV2513406		676
120 BPM	KIRILIK			ru	yandex	RUAGV2513406		1678
120 BPM	KIRILIK			ru	zvooq	RUAGV2513406		14
120 BPM	KIRILIK			ua	umavk	RUAGV2513406		2
